,Title,Subtitle,Link
38,CONTROVERSIAL CALL, MLB fans in shock after Cubs walk off Pirates on controversial play,https://www.the-sun.com/sport/11403434/mlb-pittsburgh-pirates-chicago-cubs-controversial-call-walkoff/
39,WASTING AWAY, I lost 40lbs and the ability to speak after my body started eating itself,https://www.the-sun.com/health/11393478/body-wasting-away-disease-hemophagocytic-lymphohistiocytosis/
40,BAD CALL, Attorney who almost lost $9k after frantic call warns it can happen to you,https://www.the-sun.com/news/11404290/attorney-scam-voice-cloning-artificial-intelligence/
41,AISLE WAIT, Walmart shopper fumes as new policy sees them 'wait 20 minutes' to try clothes,https://www.the-sun.com/news/11403021/walmart-shopper-retail-anti-theft-frustrated/
42,MOVING ON, Complaint against judge in Trump hush money trial dismissed after Biden donation,https://www.the-sun.com/news/11399214/juan-merchan-complaint-dismissed-donald-trump/
43,TRYING TIME, 90-year-old mom was tricked into $200 contract - and it cost her to cancel,https://www.the-sun.com/news/11399100/painful-trick-elderly-mom-utilities-california/
44,TOILET HUMOR, Jeff Daniels feared Dumb and Dumber scene would 'end my career',https://www.the-sun.com/entertainment/11404130/jeff-daniels-dumb-dumber-career-toilet-scene/
45,'AGED LIKE FINE WINE', One Tree Hill fans gush alum goes shirtless in new American Eagle ads,https://www.the-sun.com/entertainment/11404045/one-tree-hill-james-lafferty-american-eagle-shirtless/
46,SICK ATTACK, Diddy’s ex Cassie appears to have marks all over her legs in 2016 photos,https://www.the-sun.com/entertainment/11399863/diddy-ex-cassie-mark-legs-2016-photo-beat/
47,KAR-DASHING, Beauty pro's free anti-aging tips that'll knock 16 years off & Kim K does it,https://www.the-sun.com/lifestyle/11401451/beauty-anti-ageing-tips-kim-k/
48,FABULOUS FIX, My acne coverage is flawless thanks to my mom - a $10 buy looks so natural,https://www.the-sun.com/lifestyle/11403059/acne-coverage-mom-glowy-skin-cheap-beauty-buy/
49,GREEN GAINS, My 4-step plan will help repair a patchy lawn - it's perfect for newbies,https://www.the-sun.com/lifestyle/11400958/plan-repair-patchy-lawn-easy-perfect-newbies-garden-tool/
50,BUDGET BEAUTY," My $15 lipstick lasts through just about anything, it never dries out my lips",https://www.the-sun.com/lifestyle/11402989/cheap-lipstick-never-dries-sephora-collection-makeupe/
51,GETTING LIPPY, I tried three retro lip stains including the TikTok product of the moment,https://www.the-sun.com/lifestyle/11402139/tried-three-retro-lip-stains/
52,HAIR RAISING, Steve Harvey snaps at Family Feud player after answer host 'didn't appreciate',https://www.the-sun.com/tv/11403679/steve-harvey-family-feud-bald-comment-laughing/
53,'THIS IS INSANE', Sabrina Carpenter 'rolls her eyes' at Jake Gyllenhaal in SNL promo,https://www.the-sun.com/tv/11402330/sabrina-carpenter-rolls-eyes-jake-gyllenhaal-snl-promo/
54,OH BABIES!, Teen Mom's Kailyn shares rare photo of her six-month old twins' faces,https://www.the-sun.com/tv/11404249/kailyn-lowry-twins-rare-pics-teen-mom/
55,ALL SHOOK UP, McDonald's stays silent on possible return of fan-favorite Grimace Shake,https://www.the-sun.com/money/11401157/mcdonalds-grimace-shake-back-summer-canada/
56,SIMPLY THE BEST, I'm a Best Buy worker - there's a way to get returned items for less,https://www.the-sun.com/money/11402508/best-buy-open-box-outlet-online-deals/
57,PAY UP," Social Security is forcing my mom to give $10,000 in overpayments",https://www.the-sun.com/money/11378760/social-security-overpayment-mom-withhold-benefits/
58,MONEY WOES, I lost $5k from Truist after I never received my debit card - the bank blamed me,https://www.the-sun.com/money/11378350/truist-bank-customer-complaint-missing-money-debit-card/
59,BIG WIN ," Lotto warning as $1m jackpot prize still unclaimed, ticket bought at gas station",https://www.the-sun.com/money/11401980/lotto-jackpot-prize-unclaimed-gas-station-illinois/
60,LOCK IT DOWN, Cybersecurity expert reveals exact steps to take if your data is breached,https://www.the-sun.com/tech/11384042/cybersecurity-expert-data-breach-advice-what-to-do/
61,IN CHARGE!, Samsung warns common ‘cell signal’ mistake is killing your battery life,https://www.the-sun.com/tech/11364865/samsung-battery-life-cell-signal-phone-mobile-data/
62,PIX ME!, I tested the new Pixel 8a - why it's Google's best budget phone yet,https://www.the-sun.com/tech/11400352/google-pixel-8a-phone-review/
63,RED FLAGS, Google warning over ‘red exclamation point’ – too dangerous for users to ignore,https://www.the-sun.com/tech/11394191/google-account-warning-recommended-steps/
64,BUH BYE, Thousands of Super Mario fans are claiming that Nintendo is cancelling their orders,https://www.the-sun.com/tech/11394935/paper-mario-preorders-cancelled/
65,YELLOW LIGHT, New law to see drivers hit with $3k fines - crackdown starts now,https://www.the-sun.com/motors/11400891/school-bus-speeding-school-zone-utah/
66,EYE ON ENGINE," 'Gonna cost you thousands,' warns mechanic of crucial maintenance many forget",https://www.the-sun.com/motors/11387829/oil-change-intervals-mechanic-advice-engine/
67,DRIVEWAY DIRGE, Drivers trapped for a week at home as road construction blocks driveways,https://www.the-sun.com/motors/11379740/driveway-blocked-road-construction-trapped-home/
